32
0	0	0	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	0	0	1	1	0
0	0	1	0	0	0
0	0	1	0	1	0
0 	0 	1 	1 	0 	0
0 	0 	1 	1 	1 	0
0 	1 	0 	0 	0 	0
0 	1 	0 	0 	1 	0
0 	1 	0 	1 	0 	0
0 	1 	0 	1 	1 	0
0 	1 	1 	0 	0 	0
0 	1 	1 	0 	1 	0
0 	1 	1 	1 	0 	0
0 	1 	1 	1 	1 	0
1 	0 	0 	0 	0 	0
1 	0 	0 	0 	1 	01111
1 	0 	0 	1 	0 	011110
1 	0 	0 	1 	1 	0101101
1 	0 	1 	0 	0 	0111100
1 	0 	1 	0 	1 	01001011
1 	0 	1 	1 	0 	01011010
1 	0 	1 	1 	1 	01101001
1 	1 	0 	0 	0 	01111000
1 	1 	0 	0 	1 	010000111
1 	1 	0 	1 	0 	010010110
1 	1 	0 	1 	1 	010100101
1 	1 	1 	0 	0 	010110100
1 	1 	1 	0 	1 	011000011
1 	1 	1 	1 	0 	011010010
1 	1 	1 	1 	1 	011100001
